M.Trans.	H	Be	B	C	N	O	F	Ne	Na	Mg	Al	Si	P	S	Cl	K	Ca	Ti	V	Mn	Fe	Co	Ni	Cu	Zn	Ga	Br	Kr	Rb	Mo	Sn	Sb	Te	I	Xe	Cs	Ba	La	Ce	Pr	Nd 60	Eu 63	Gd 64	Tb 65	Dy 66	Ho 67	Lu 71	Ta 73	Au 79	Pb
0.0000000001E+00	1.0000000000E+00	4.0000000000E+00	5.0000000000E+00	6.0000000000E+00	7.0000000000E+00	8.0000000000E+00	9.0000000000E+00	1.0000000000E+01	1.1000000000E+01	1.2000000000E+01	1.3000000000E+01	1.4000000000E+01	1.5000000000E+01	1.6000000000E+01	1.7000000000E+01	1.9000000000E+01	2.0000000000E+01	2.2000000000E+01	2.3000000000E+01	2.5000000000E+01	2.6000000000E+01	2.7000000000E+01	2.8000000000E+01	2.9000000000E+01	3.0000000000E+01	3.1000000000E+01	3.5000000000E+01	3.6000000000E+01	3.7000000000E+01	4.2000000000E+01	5.0000000000E+01	5.1000000000E+01	5.2000000000E+01	5.3000000000E+01	5.4000000000E+01	5.5000000000E+01	5.6000000000E+01	5.7000000000E+01	5.8000000000E+01	5.9000000000E+01	6.0000000000E+01	6.3000000000E+01	6.4000000000E+01	6.5000000000E+01	6.6000000000E+01	6.7000000000E+01	7.1000000000E+01	7.3000000000E+01	7.9000000000E+01	8.2000000000E+01
5.0000000000E-03	9.9945000000E-01	3.9970000000E+00	4.9971000000E+00	5.9974000000E+00	6.9938000000E+00	7.9974000000E+00	8.9976000000E+00	9.9978000000E+00	1.0989000000E+01	1.1991000000E+01	1.2992000000E+01	1.3993000000E+01	1.4993000000E+01	1.5994000000E+01	1.6994000000E+01	1.8983000000E+01	1.9988000000E+01	2.1986000000E+01	2.2985000000E+01	2.4984000000E+01	2.5983000000E+01	2.6983000000E+01	2.7984000000E+01	2.8984000000E+01	2.9984000000E+01	3.0979000000E+01	3.4990000000E+01	3.5990000000E+01	3.6973000000E+01	4.1986000000E+01	4.9981000000E+01	5.0983000000E+01	5.1985000000E+01	5.2986000000E+01	5.3988000000E+01	5.4971000000E+01	5.5970000000E+01	5.6964000000E+01	5.7963000000E+01	5.8968000000E+01	5.9967000000E+01	6.2966000000E+01	6.3960000000E+01	6.4960000000E+01	6.5966000000E+01	6.6966000000E+01	7.0962000000E+01	7.2959000000E+01	7.8976000000E+01	8.1975000000E+01
1.0000000000E-02	9.9779000000E-01	3.9880000000E+00	4.9885000000E+00	5.9898000000E+00	6.9870000000E+00	7.9912000000E+00	8.9919000000E+00	9.9926000000E+00	1.0975000000E+01	1.1975000000E+01	1.2974000000E+01	1.3975000000E+01	1.4976000000E+01	1.5978000000E+01	1.6979000000E+01	1.8961000000E+01	1.9957000000E+01	2.1959000000E+01	2.2959000000E+01	2.4961000000E+01	2.5961000000E+01	2.6962000000E+01	2.7963000000E+01	2.8967000000E+01	2.9965000000E+01	3.0957000000E+01	3.4967000000E+01	3.5969000000E+01	3.6938000000E+01	4.1954000000E+01	4.9946000000E+01	5.0948000000E+01	5.1950000000E+01	5.2952000000E+01	5.3953000000E+01	5.4920000000E+01	5.5912000000E+01	5.6909000000E+01	5.7909000000E+01	5.8914000000E+01	5.9914000000E+01	6.2917000000E+01	6.3912000000E+01	6.4913000000E+01	6.5919000000E+01	6.6920000000E+01	7.0919000000E+01	7.2917000000E+01	7.8941000000E+01	8.1932000000E+01
1.5000000000E-02	9.9504000000E-01	3.9732000000E+00	4.9742000000E+00	5.9771000000E+00	6.9793000000E+00	7.9814000000E+00	8.9831000000E+00	9.9845000000E+00	1.0956000000E+01	1.1951000000E+01	1.2945000000E+01	1.3946000000E+01	1.4949000000E+01	1.5952000000E+01	1.6954000000E+01	1.8916000000E+01	1.9907000000E+01	2.1918000000E+01	2.2922000000E+01	2.4929000000E+01	2.5932000000E+01	2.6935000000E+01	2.7938000000E+01	2.8947000000E+01	2.9942000000E+01	3.0932000000E+01	3.4933000000E+01	3.5935000000E+01	3.6889000000E+01	4.1902000000E+01	4.9895000000E+01	5.0894000000E+01	5.1894000000E+01	5.2895000000E+01	5.3897000000E+01	5.4840000000E+01	5.5823000000E+01	5.6827000000E+01	5.7831000000E+01	5.8834000000E+01	5.9837000000E+01	6.2846000000E+01	6.3849000000E+01	6.4851000000E+01	6.5854000000E+01	6.6856000000E+01	7.0865000000E+01	7.2870000000E+01	7.8894000000E+01	8.1868000000E+01
2.0000000000E-02	9.9121000000E-01	3.9525000000E+00	4.9542000000E+00	5.9594000000E+00	6.9633000000E+00	7.9669000000E+00	8.9699000000E+00	9.9724000000E+00	1.0922000000E+01	1.1914000000E+01	1.2903000000E+01	1.3905000000E+01	1.4909000000E+01	1.5914000000E+01	1.6919000000E+01	1.8853000000E+01	1.9837000000E+01	2.1855000000E+01	2.2862000000E+01	2.4875000000E+01	2.5880000000E+01	2.6885000000E+01	2.7890000000E+01	2.8906000000E+01	2.9898000000E+01	3.0881000000E+01	3.4881000000E+01	3.5884000000E+01	3.6805000000E+01	4.1827000000E+01	4.9814000000E+01	5.0812000000E+01	5.1813000000E+01	5.2814000000E+01	5.3817000000E+01	5.4720000000E+01	5.5688000000E+01	5.6695000000E+01	5.7702000000E+01	5.8707000000E+01	5.9713000000E+01	6.2728000000E+01	6.3733000000E+01	6.4738000000E+01	6.5742000000E+01	6.6746000000E+01	7.0761000000E+01	7.2771000000E+01	7.8812000000E+01	8.1767000000E+01
2.5000000000E-02	9.8632000000E-01	3.9264000000E+00	4.9289000000E+00	5.9368000000E+00	6.9428000000E+00	7.9484000000E+00	8.9531000000E+00	9.9570000000E+00	1.0880000000E+01	1.1867000000E+01	1.2849000000E+01	1.3852000000E+01	1.4859000000E+01	1.5866000000E+01	1.6874000000E+01	1.8774000000E+01	1.9748000000E+01	2.1775000000E+01	2.2786000000E+01	2.4806000000E+01	2.5814000000E+01	2.6822000000E+01	2.7829000000E+01	2.8854000000E+01	2.9841000000E+01	3.0815000000E+01	3.4815000000E+01	3.5819000000E+01	3.6699000000E+01	4.1732000000E+01	4.9712000000E+01	5.0708000000E+01	5.1709000000E+01	5.2711000000E+01	5.3714000000E+01	5.4570000000E+01	5.5519000000E+01	5.6530000000E+01	5.7540000000E+01	5.8549000000E+01	5.9557000000E+01	6.2581000000E+01	6.3588000000E+01	6.4595000000E+01	6.5602000000E+01	6.6608000000E+01	7.0630000000E+01	7.2644000000E+01	7.8708000000E+01	8.1638000000E+01
3.0000000000E-02	9.8039000000E-01	3.8947000000E+00	4.8981000000E+00	5.9093000000E+00	6.9179000000E+00	7.9259000000E+00	8.9326000000E+00	9.9382000000E+00	1.0829000000E+01	1.1811000000E+01	1.2785000000E+01	1.3788000000E+01	1.4798000000E+01	1.5808000000E+01	1.6819000000E+01	1.8681000000E+01	1.9643000000E+01	2.1680000000E+01	2.2695000000E+01	2.4723000000E+01	2.5735000000E+01	2.6745000000E+01	2.7755000000E+01	2.8791000000E+01	2.9773000000E+01	3.0735000000E+01	3.4735000000E+01	3.5741000000E+01	3.6575000000E+01	4.1618000000E+01	4.9588000000E+01	5.0583000000E+01	5.1583000000E+01	5.2586000000E+01	5.3591000000E+01	5.4393000000E+01	5.5320000000E+01	5.6333000000E+01	5.7346000000E+01	5.8360000000E+01	5.9372000000E+01	6.2405000000E+01	6.3414000000E+01	6.4423000000E+01	6.5434000000E+01	6.6443000000E+01	7.0473000000E+01	7.2492000000E+01	7.8581000000E+01	8.1482000000E+01
4.0000000000E-02	9.6554000000E-01	3.8168000000E+00	4.8217000000E+00	5.8406000000E+00	6.8553000000E+00	7.8692000000E+00	8.8808000000E+00	9.8906000000E+00	1.0709000000E+01	1.1673000000E+01	1.2628000000E+01	1.3631000000E+01	1.4646000000E+01	1.5664000000E+01	1.6682000000E+01	1.8459000000E+01	1.9388000000E+01	2.1447000000E+01	2.2473000000E+01	2.4518000000E+01	2.5538000000E+01	2.6556000000E+01	2.7573000000E+01	2.8635000000E+01	2.9603000000E+01	3.0539000000E+01	3.4534000000E+01	3.5544000000E+01	3.6278000000E+01	4.1335000000E+01	4.9280000000E+01	5.0270000000E+01	5.1269000000E+01	5.2273000000E+01	5.3280000000E+01	5.3970000000E+01	5.4841000000E+01	5.5856000000E+01	5.6878000000E+01	5.7906000000E+01	5.8926000000E+01	6.1980000000E+01	6.2990000000E+01	6.4006000000E+01	6.5028000000E+01	6.6043000000E+01	7.0090000000E+01	7.2117000000E+01	7.8266000000E+01	8.1096000000E+01
5.0000000000E-02	9.4693000000E-01	3.7215000000E+00	4.7270000000E+00	5.7544000000E+00	6.7760000000E+00	7.7974000000E+00	8.8150000000E+00	9.8300000000E+00	1.0573000000E+01	1.1505000000E+01	1.2439000000E+01	1.3439000000E+01	1.4458000000E+01	1.5483000000E+01	1.6510000000E+01	1.8202000000E+01	1.9088000000E+01	2.1171000000E+01	2.2208000000E+01	2.4274000000E+01	2.5302000000E+01	2.6329000000E+01	2.7353000000E+01	2.8448000000E+01	2.9397000000E+01	3.0306000000E+01	3.4283000000E+01	3.5297000000E+01	3.5948000000E+01	4.0991000000E+01	4.8906000000E+01	4.9886000000E+01	5.0881000000E+01	5.1884000000E+01	5.2892000000E+01	5.3491000000E+01	5.4292000000E+01	5.5309000000E+01	5.6342000000E+01	5.7386000000E+01	5.8415000000E+01	6.1493000000E+01	6.2504000000E+01	6.3527000000E+01	6.4562000000E+01	6.5584000000E+01	6.9646000000E+01	7.1678000000E+01	7.7882000000E+01	8.0626000000E+01
7.0000000000E-02	8.9987000000E-01	3.4924000000E+00	4.4934000000E+00	5.5369000000E+00	6.5741000000E+00	7.6117000000E+00	8.6441000000E+00	9.6719000000E+00	1.0248000000E+01	1.1114000000E+01	1.1984000000E+01	1.2966000000E+01	1.3989000000E+01	1.5027000000E+01	1.6070000000E+01	1.7625000000E+01	1.8398000000E+01	2.0501000000E+01	2.1557000000E+01	2.3660000000E+01	2.4707000000E+01	2.5751000000E+01	2.6793000000E+01	2.7962000000E+01	2.8868000000E+01	2.9706000000E+01	3.3642000000E+01	3.4663000000E+01	3.5146000000E+01	4.0141000000E+01	4.7964000000E+01	4.8920000000E+01	4.9902000000E+01	5.0900000000E+01	5.1909000000E+01	5.2361000000E+01	5.3013000000E+01	5.3989000000E+01	5.5036000000E+01	5.6144000000E+01	5.7186000000E+01	6.0307000000E+01	6.1287000000E+01	6.2325000000E+01	6.3416000000E+01	6.4450000000E+01	6.8521000000E+01	7.0547000000E+01	7.6884000000E+01	7.9435000000E+01
