M.Trans.	H	Be	B	C	N	O	F	Ne	Na	Mg	Al	Si	P	S	Cl	K	Ca	Ti	V	Mn	Fe	Co	Ni	Cu	Zn	Ga	Br	Kr	Rb	Mo	Sn	Sb	Te	I	Xe	Cs	Ba	La	Ce	Pr	Nd 60	Eu 63	Gd 64	Tb 65	Dy 66	Ho 67	Lu 71	Ta 73	Au 79	Pb
0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00	0.00000000000001E+00
5.0000000000E-03	1.1047000000E-03	4.3000000000E-03	3.9000000000E-03	3.7900000000E-03	3.0000000000E-03	3.0000000000E-03	2.0000000000E-03	2.0000000000E-03	9.0000000000E-03	1.0000000000E-02	1.0000000000E-02	9.0000000000E-03	8.0000000000E-03	7.0000000000E-03	7.0000000000E-03	1.6000000000E-02	1.8000000000E-02	1.6000000000E-02	1.5000000000E-02	1.3000000000E-02	1.2000000000E-02	1.2000000000E-02	1.1000000000E-02	9.0000000000E-03	1.0000000000E-02	1.1000000000E-02	9.0000000000E-03	9.0000000000E-03	2.0000000000E-02	1.6000000000E-02	1.5000000000E-02	1.5000000000E-02	1.4000000000E-02	1.3000000000E-02	1.3000000000E-02	2.7000000000E-02	3.1000000000E-02	3.0000000000E-02	2.9000000000E-02	2.9000000000E-02	2.9000000000E-02	2.7000000000E-02	2.6000000000E-02	2.6000000000E-02	2.6000000000E-02	2.5000000000E-02	2.4000000000E-02	2.2000000000E-02	1.6000000000E-02	1.8000000000E-02
1.0000000000E-02	4.4098000000E-03	1.7700000000E-02	1.5650000000E-02	1.2990000000E-02	1.3000000000E-02	1.1000000000E-02	1.0000000000E-02	9.0000000000E-03	3.6000000000E-02	4.0000000000E-02	3.9000000000E-02	3.5000000000E-02	3.2000000000E-02	2.9000000000E-02	2.6000000000E-02	6.2000000000E-02	7.2000000000E-02	6.3000000000E-02	5.9000000000E-02	5.2000000000E-02	5.0000000000E-02	4.7000000000E-02	4.5000000000E-02	3.6000000000E-02	4.1000000000E-02	4.4000000000E-02	3.6000000000E-02	8.5000000000E-02	7.8000000000E-02	6.5000000000E-02	6.0000000000E-02	5.8000000000E-02	5.6000000000E-02	5.4000000000E-02	5.2000000000E-02	1.0500000000E-01	1.2400000000E-01	1.1900000000E-01	1.1600000000E-01	1.6000000000E-01	1.1400000000E-01	1.0800000000E-01	1.0400000000E-01	1.0200000000E-01	1.0300000000E-01	1.0100000000E-01	9.3000000000E-02	8.7000000000E-02	6.2000000000E-02	7.2000000000E-02
1.5000000000E-02	9.8880000000E-03	3.9679000000E-02	3.5033000000E-02	2.9534000000E-02	2.9200000000E-02	2.5300000000E-02	2.2400000000E-02	2.0100000000E-02	7.9300000000E-02	8.9700000000E-02	8.7100000000E-02	7.9000000000E-02	7.1200000000E-02	6.4600000000E-02	5.9000000000E-02	1.3770000000E-01	1.5980000000E-01	1.3910000000E-01	1.3070000000E-01	1.1670000000E-01	1.1090000000E-01	1.0560000000E-01	1.0090000000E-01	8.1300000000E-02	9.2600000000E-02	9.8200000000E-02	8.1700000000E-02	7.7900000000E-02	1.7180000000E-01	1.4390000000E-01	1.3440000000E-01	1.2970000000E-01	1.2500000000E-01	1.2050000000E-01	1.1620000000E-01	2.3070000000E-01	2.7230000000E-01	2.6220000000E-01	2.5620000000E-01	2.5690000000E-01	2.5210000000E-01	2.3890000000E-01	2.2990000000E-01	2.2630000000E-01	2.2720000000E-01	2.2360000000E-01	2.0740000000E-01	1.9260000000E-01	1.3800000000E-01	1.5980000000E-01
2.0000000000E-02	1.7494000000E-02	7.0200000000E-02	6.2000000000E-02	5.1640000000E-02	5.1700000000E-02	4.4800000000E-02	3.9700000000E-02	3.5700000000E-02	1.3780000000E-02	1.5720000000E-01	1.5300000000E-01	1.3910000000E-01	1.2560000000E-01	1.1420000000E-01	1.0430000000E-01	2.3780000000E-01	2.7810000000E-01	2.4320000000E-01	2.2870000000E-01	2.0470000000E-01	1.9470000000E-01	1.8560000000E-01	1.7740000000E-01	1.4300000000E-01	1.6310000000E-01	1.7270000000E-01	1.4450000000E-01	1.3770000000E-01	2.9640000000E-01	2.5210000000E-01	2.3650000000E-01	2.2840000000E-01	2.2050000000E-01	2.1280000000E-01	2.0530000000E-01	3.9640000000E-01	4.7070000000E-01	4.5500000000E-01	4.4490000000E-01	4.4500000000E-01	4.3700000000E-01	4.1470000000E-01	4.0030000000E-01	3.9410000000E-01	3.9500000000E-01	3.8890000000E-01	3.6200000000E-01	3.3730000000E-01	2.4280000000E-01	2.8130000000E-01
2.5000000000E-02	2.7167000000E-02	1.0834000000E-01	9.5926000000E-02	8.0494000000E-02	8.0400000000E-02	6.9800000000E-02	6.1900000000E-02	5.5600000000E-02	2.0920000000E-01	2.4110000000E-01	2.3530000000E-01	2.1480000000E-01	1.9440000000E-01	1.7700000000E-01	1.6200000000E-01	3.5840000000E-01	4.2300000000E-01	3.7200000000E-01	3.5060000000E-01	3.1460000000E-01	2.9950000000E-01	2.8580000000E-01	2.7340000000E-01	2.2050000000E-01	2.5170000000E-01	2.6630000000E-01	2.2410000000E-01	2.1390000000E-01	4.4620000000E-01	3.8680000000E-01	3.6480000000E-01	3.5270000000E-01	3.4120000000E-01	3.2960000000E-01	3.1830000000E-01	5.9400000000E-01	7.0990000000E-01	6.8950000000E-01	6.7470000000E-01	6.7330000000E-01	6.6160000000E-01	6.2900000000E-01	6.0920000000E-01	6.0020000000E-01	6.0000000000E-01	5.9110000000E-01	5.5270000000E-01	5.1700000000E-01	3.7460000000E-01	4.3390000000E-01
3.0000000000E-02	3.8828000000E-02	1.5440000000E-01	1.3702000000E-01	1.1570000000E-01	1.1510000000E-01	1.0010000000E-01	8.8800000000E-02	7.9900000000E-02	2.9120000000E-01	3.3930000000E-01	3.3250000000E-01	3.0490000000E-01	2.7660000000E-01	2.5260000000E-01	2.3160000000E-01	4.9460000000E-01	5.8970000000E-01	5.2230000000E-01	4.9320000000E-01	4.4410000000E-01	4.2330000000E-01	4.0440000000E-01	3.8720000000E-01	3.1250000000E-01	3.5710000000E-01	3.7730000000E-01	3.2000000000E-01	3.0560000000E-01	6.1490000000E-01	5.4480000000E-01	5.1750000000E-01	5.0080000000E-01	4.8540000000E-01	4.6960000000E-01	4.5390000000E-01	8.1480000000E-01	9.8060000000E-01	9.5750000000E-01	9.3770000000E-01	9.3310000000E-01	9.1760000000E-01	8.7440000000E-01	8.5030000000E-01	8.3810000000E-01	8.3560000000E-01	8.2360000000E-01	7.7420000000E-01	7.2750000000E-01	5.3120000000E-01	6.1520000000E-01
4.0000000000E-02	6.7731000000E-02	2.6560000000E-01	2.3761000000E-01	2.0150000000E-01	2.0170000000E-01	1.7610000000E-01	1.5650000000E-01	1.4100000000E-01	4.7640000000E-01	5.7020000000E-01	5.6420000000E-01	5.2290000000E-01	4.7730000000E-01	4.3880000000E-01	4.0410000000E-01	7.9450000000E-01	9.6850000000E-01	8.7210000000E-01	8.2790000000E-01	7.5130000000E-01	7.1830000000E-01	6.8810000000E-01	6.6050000000E-01	5.3440000000E-01	6.1150000000E-01	6.4440000000E-01	5.5660000000E-01	5.3270000000E-01	9.8600000000E-01	9.1770000000E-01	8.8610000000E-01	8.5980000000E-01	8.3740000000E-01	8.1320000000E-01	7.8750000000E-01	1.2955000000E+00	1.5778000000E+00	1.5596000000E+00	1.5304000000E+00	1.5131000000E+00	1.4910000000E+00	1.4278000000E+00	1.4013000000E+00	1.3831000000E+00	1.3701000000E+00	1.3521000000E+00	1.2865000000E+00	1.2221000000E+00	9.0930000000E-01	1.0528000000E+00
5.0000000000E-02	1.0332000000E-01	3.9810000000E-01	3.5989000000E-01	3.0860000000E-01	3.1000000000E-01	2.7100000000E-01	2.4200000000E-01	2.1800000000E-01	6.7400000000E-01	8.3100000000E-01	8.3200000000E-01	7.8200000000E-01	7.1900000000E-01	6.6600000000E-01	6.1700000000E-01	1.1050000000E+00	1.3750000000E+00	1.2630000000E+00	1.2060000000E+00	1.1040000000E+00	1.0600000000E+00	1.0190000000E+00	9.8100000000E-01	7.9600000000E-01	9.1200000000E-01	9.5900000000E-01	8.4600000000E-01	8.1200000000E-01	1.3720000000E+00	1.3440000000E+00	1.3230000000E+00	1.2870000000E+00	1.2610000000E+00	1.2300000000E+00	1.1940000000E+00	1.7930000000E+00	2.1960000000E+00	2.1990000000E+00	2.1620000000E+00	2.1240000000E+00	2.0970000000E+00	2.0200000000E+00	2.0010000000E+00	1.9780000000E+00	1.9460000000E+00	1.9230000000E+00	1.8540000000E+00	1.7830000000E+00	1.3570000000E+00	1.5710000000E+00
7.0000000000E-02	1.9024000000E-01	6.9980000000E-01	6.5072000000E-01	5.6877000000E-01	5.7970000000E-01	5.1370000000E-01	4.6100000000E-01	4.1770000000E-01	1.0490000000E+00	1.3721000000E+00	1.4192000000E+00	1.3724000000E+00	1.2840000000E+00	1.2127000000E+00	1.1378000000E+00	1.6922000000E+00	2.1575000000E+00	2.0626000000E+00	1.9964000000E+00	1.8663000000E+00	1.8065000000E+00	1.7497000000E+00	1.6955000000E+00	1.3930000000E+00	1.5956000000E+00	1.6724000000E+00	1.5477000000E+00	1.4945000000E+00	2.1219000000E+00	2.2641000000E+00	2.3215000000E+00	2.2731000000E+00	2.2554000000E+00	2.2213000000E+00	2.1679000000E+00	2.7816000000E+00	3.3564000000E+00	3.4326000000E+00	3.3896000000E+00	3.2963000000E+00	3.2673000000E+00	3.1762000000E+00	3.2003000000E+00	3.1726000000E+00	3.0873000000E+00	3.0585000000E+00	3.0186000000E+00	2.9742000000E+00	2.3876000000E+00	2.7554000000E+00
